product,rating,sentiment,score,text
CeraVe Hydrating Facial Cleanser,5,negative,-0.1779,This cleanser is amazing. My skin feels so soft an...
CeraVe Hydrating Facial Cleanser,4,positive,0.6249,Works well but a bit expensive. My skin feels clea...
CeraVe Hydrating Facial Cleanser,2,negative,-0.2263,This gave me acne. Stopped using after a week....
CeraVe Hydrating Facial Cleanser,5,positive,0.5859,No fragrance. Gentle. My rosacea improved....
CeraVe Hydrating Facial Cleanser,3,negative,-0.6944,Nothing special. Didn't break me out but didn't wo...
Neutrogena Hydro Boost,5,neutral,0.0,This moisturizer is incredible. Gel texture absorb...
Neutrogena Hydro Boost,4,neutral,0.0,My flaky skin is gone. Hydrating without being gre...
Neutrogena Hydro Boost,2,negative,-0.2789,Got cystic acne from this. Stopped using....
The Ordinary Niacinamide,5,neutral,0.0,My pores are smaller. Oil production reduced signi...
The Ordinary Niacinamide,4,positive,0.6705,Good product for the price. Helps with texture....
The Ordinary Niacinamide,1,neutral,0.0,Burned my skin. Redness and itching. Had to wash o...
La Roche-Posay Toleriane,5,negative,-0.4013,Rich but not heavy. Perfect for dry sensitive skin...
La Roche-Posay Toleriane,4,positive,0.7684,Pricey but good. Ceramides help my barrier....
La Roche-Posay Toleriane,3,positive,0.1114,Not worth the hype. My Cetaphil works just as well...
Cetaphil Gentle Cleanser,5,positive,0.3089,Been using for years. Never irritates. Does the jo...
Cetaphil Gentle Cleanser,4,positive,0.2263,Simple and effective. No frills....
Cetaphil Gentle Cleanser,2,negative,-0.2057,Doesn't remove makeup well. Leaves residue....
